ID	species	Vetor_FST_Estimado	Bio8_spp_sd	SD_Bio8_FST1	Bio8_spp_sd_fstPop	range_PA_0K	expand	expo_clim
4035	Nyctimystes_cryptochrysos	0.069669759	0.562946273	0.542982105	0.562946273	1	2	0
4036	Pristimantis_degener	0.069669759	1.282980342	1.237481091	1.282980342	2	4	0
4037	Litoria_jervisiensis	0.069669759	1.098809891	1.059842008	1.059842008	9	18	3
4038	Probreviceps_loveridgei	0.069669759	1.216523363	1.173380923	1.173380923	7	14	2
4039	Eleutherodactylus_martinicensis	0.069669759	0.73586197	0.70976557	0.70976557	7	14	1
4040	Hypsiboas_pellucens	0.296036067	1.645512742	1.380627291	1.380627291	18	36	12
4041	Bolitoglossa_compacta	0.069669759	0.127562071	0.123038246	0.127562071	2	2	0
4042	Hypodactylus_elassodiscus	0.069669759	0.663417489	0.639890239	0.663417489	4	8	0
4043	Eurycea_lucifuga	0.176113719	3.262022023	2.960878077	2.960878077	79	135	72
4044	Phyllomedusa_camba	0.245709377	2.3413999	2.033503619	2.033503619	103	138	59
4045	Austrochaperina_brevipes	0.069669759	0.951515646	0.917771364	0.951515646	2	4	0
4046	Fejervarya_rufescens	0.069669759	1.080516611	1.042197475	1.042197475	20	39	8
4047	Pseudoeurycea_lynchi	0.253613975	2.923665004	2.525860486	2.923665004	3	6	1
4048	Aglyptodactylus_madagascariensis	0.247758172	1.515036334	1.314019431	1.314019431	31	50	13
4049	Kaloula_kokacii	0.35038217	0.2301896	0.185530223	0.2301896	3	6	0
4050	Chikila_fulleri	0.069669759	0.957027393	0.923087644	0.957027393	1	2	0
4051	Choerophryne_rostellifer	0.483445096	1.899381498	1.365118799	1.365118799	7	14	4
4052	Pristimantis_vilcabambae	0.069669759	2.281982066	2.2010545	2.281982066	1	1	0
4053	Uperoleia_littlejohni	0.387040669	0.863359469	0.675938972	0.675938972	20	36	6
4054	Hydromantes_ambrosii	0.228688528	1.720703437	1.511196439	1.720703437	3	6	0
4055	Atelopus_ignescens	0.325909308	0.80448654	0.660507795	0.80448654	4	4	0
4056	Melanophryniscus_paraguayensis	0.069669759	0.743912121	0.717530232	0.743912121	1	2	0
4057	Buergeria_buergeri	0.261257229	4.414358009	3.794147182	3.794147182	53	65	34
4058	Caecilia_crassisquama	0.069669759	0.521023619	0.502546185	0.521023619	1	1	0
4059	Rana_vaillanti	0.27156445	2.711094828	2.31387703	2.31387703	102	160	69
4060	Amolops_jaunsari	0.30217177	3.687692323	3.080554855	3.687692323	2	2	1
4061	Rana_ulma	0.32224946	0.101368915	0.083452574	0.101368915	2	3	0
4062	Rhinella_pygmaea	0.296163544	1.212539608	1.017259637	1.017259637	8	12	2
4063	Litoria_aurea	0.238201714	3.834654013	3.346926544	3.346926544	43	75	31
4064	Hyla_simplex	0.318849966	3.18283272	2.626849584	2.626849584	49	82	20
4065	Proceratophrys_rondonae	0.069669759	0.578705542	0.558182493	0.578705542	1	2	0
4066	Litoria_chrisdahli	0.069669759	0.718373078	0.692896898	0.718373078	1	2	0
4067	Platypelis_tuberifera	0.349064142	1.589444397	1.282373214	1.282373214	14	28	7
4068	Amolops_torrentis	0.38401572	1.321456007	1.037140334	1.037140334	6	11	1
4069	Rhinella_azarai	0.069669759	1.07502744	1.036902971	1.07502744	1	2	0
4070	Eleutherodactylus_darlingtoni	0.069669759	0.244496717	0.235825955	0.244496717	1	2	0
4071	Pseudophilautus_pardus	0.069669759	0.106127367	0.102363696	0.106127367	1	2	0
4072	Nymphargus_siren	0.433672671	4.635762314	3.488630075	3.488630075	6	6	4
4073	Nymphargus_pluvialis	0.420494991	4.882776297	3.71702451	4.882776297	3	3	2
4074	Atelopus_chiriquiensis	0.069669759	0.275916699	0.266131668	0.275916699	1	1	0
4075	Phrynobatrachus_irangi	0.069669759	0.553222892	0.533603552	0.553222892	2	2	0
4076	Rulyrana_spiculata	0.416793947	4.881084173	3.727582881	3.727582881	7	7	6
4077	Scinax_aromothyella	0.390413313	0.979695542	0.764907411	0.979695542	2	4	0
4078	Pleurodema_tucumanum	0.369241378	3.205558229	2.5458644	2.5458644	53	82	34
4079	Trachycephalus_mesophaeus	0.248355657	1.819577422	1.577526763	1.577526763	113	155	63
4080	Scinax_flavoguttatus	0.328729718	1.614656979	1.322905995	1.322905995	33	55	17
4081	Nanorana_aenea	0.268384083	1.683232708	1.439745515	1.439745515	8	16	3
4082	Bokermannohyla_pseudopseudis	0.284543374	0.536250865	0.45358602	0.45358602	38	38	0
4083	Bufotes_baturae	0.069669759	18.26760368	17.61976655	18.26760368	1	1	0
4084	Raorchestes_akroparallagi	0.069669759	1.125231917	1.085327011	1.125231917	4	8	1
4085	Cophixalus_amabilis	0.069669759	0.558288659	0.538489667	0.558288659	1	2	0
4086	Hyperolius_lamottei	0.393724703	1.574743878	1.226153565	1.226153565	35	56	29
4087	Myobatrachus_gouldii	0.299872803	4.066519573	3.402603475	3.402603475	25	37	18
4088	Atelopus_guitarraensis	0.363741627	0.79514129	0.634250855	0.79514129	2	4	0
4089	Proceratophrys_subguttata	0.318393184	1.279631154	1.05645686	1.05645686	8	13	3
4090	Pristimantis_cryptomelas	0.374378156	0.24356638	0.192651899	0.24356638	4	8	0
4091	Philautus_juliandringi	0.069669759	0.877388368	0.846272915	0.877388368	1	2	0
4092	Telmatobius_fronteriensis	0.069669759	0.394651517	0.380655707	0.394651517	2	2	0
4093	Phrynoidis_juxtaspera	0.166584194	1.067180544	0.9742463	0.9742463	37	74	18
4094	Leptodactylus_turimiquensis	0.069669759	0.59852074	0.57729497	0.59852074	1	2	0
4095	Mantidactylus_cowanii	0.069669759	0.955532361	0.921645632	0.921645632	7	7	1
4096	Onychodactylus_fischeri	0.069669759	1.338904044	1.291421529	1.291421529	70	102	39
4097	Kurixalus_idiootocus	0.356362945	0.586147348	0.470248397	0.470248397	8	12	0
4098	Hylarana_signata	0.291868132	1.333894082	1.122479493	1.122479493	54	100	29
4099	Litoria_microbelos	0.422242556	1.070342364	0.813571057	0.813571057	65	104	12
4100	Pristimantis_ortizi	0.069669759	1.041255999	1.004329191	1.041255999	1	1	0
4101	Hyperolius_sankuruensis	0.360486986	0.007132207	0.005703594	0.007132207	2	2	0
4102	Ptychadena_grandisonae	0.069669759	1.326747974	1.279696559	1.279696559	160	160	96
4103	Litoria_verreauxii	0.376907821	2.23599548	1.765009598	1.765009598	45	66	33
4104	Paedophryne_dekot	0.069669759	0.661241188	0.637791117	0.661241188	1	2	0
4105	Euphlyctis_mudigere	0.069669759	2.654505218	2.560366596	2.654505218	1	1	0
4106	Cophixalus_montanus	0.069669759	0.533933159	0.514997905	0.533933159	1	2	0
4107	Lysapsus_laevis	0.436137032	2.31442442	1.737920033	1.737920033	16	32	9
4108	Phrynobatrachus_maculiventris	0.069669759	1.067834443	1.029965065	1.067834443	1	2	0
4109	Telmatobius_bolivianus	0.315092051	4.318608131	3.574044055	4.318608131	4	8	3
4110	Occidozyga_baluensis	0.069669759	1.271926486	1.226819245	1.226819245	13	26	10
4111	Plectrohyla_crassa	0.069669759	2.855541847	2.754273719	2.855541847	2	2	1
4112	Austrochaperina_septentrionalis	0.069669759	0.996816908	0.961466075	0.996816908	1	2	0
4113	Frostius_erythrophthalmus	0.407432327	0.247649303	0.190636514	0.247649303	4	7	0
4114	Ranitomeya_variabilis	0.446543725	2.739022308	2.03768584	2.739022308	2	2	1
4115	Cophixalus_nubicola	0.069669759	1.065895869	1.02809524	1.065895869	1	1	0
4116	Centrolene_quindianum	0.069669759	1.138444778	1.098071294	1.138444778	1	1	0
4117	Craugastor_sabrinus	0.069669759	0.730681065	0.704768399	0.730681065	4	8	0
4118	Bolitoglossa_lozanoi	0.069669759	1.556191425	1.501003093	1.556191425	1	1	0
4119	Anomaloglossus_parkerae	0.427128004	1.256105094	0.950724692	1.256105094	2	4	0
4120	Hypsiboas_secedens	0.316401393	1.49365274	1.234952417	1.49365274	2	4	0
4121	Pristimantis_ashkapara	0.069669759	4.543073942	4.381959653	4.543073942	2	4	1
4122	Hyloscirtus_criptico	0.069669759	0.676999567	0.652990646	0.676999567	1	1	0
4123	Dendropsophus_reichlei	0.069669759	0.59103853	0.570078106	0.59103853	1	2	0
4124	Phyllomedusa_duellmani	0.069669759	0.924559364	0.891771053	0.924559364	1	1	0
4125	Gastrotheca_christiani	0.369745822	3.265598213	2.592511052	3.265598213	4	8	2
4126	Amietophrynus_lemairii	0.069669759	1.332565356	1.285307635	1.285307635	193	193	106
4127	Chiropterotriton_lavae	0.069669759	4.061546845	3.917509297	4.061546845	2	4	1
